i,decision_date,entry_date,exit_date,candidate,long_symbols,short_symbols,gross_unit_return,eligible_count,net_return,before,after,log
385,2023-07-11,2023-07-12,2023-07-15,drawdown_recovery_k1,"[""CFXUSDT""]","[""USDCUSDT""]",0.07500835933227368,28,0.016002089833068417,0.8509697446791549,0.864587038978734,0.015875406076486093
386,2023-07-14,2023-07-15,2023-07-18,drawdown_recovery_k1,"[""CFXUSDT""]","[""XVSUSDT""]",0.030789295405679984,29,0.004947323851419996,0.864587038978734,0.868864431058302,0.004935126059184161
387,2023-07-17,2023-07-18,2023-07-21,drawdown_recovery_k1,"[""CFXUSDT""]","[""ARBUSDT""]",0.011695157380905763,28,0.00017378934522644068,0.868864431058302,0.8690154304388662,0.0001737742456076466
388,2023-07-20,2023-07-21,2023-07-24,drawdown_recovery_k1,"[""CFXUSDT""]","[""USDCUSDT""]",0.003771972660219669,27,-0.0018070068349450828,0.8690154304388662,0.8674451136163904,-0.0018086414412558209
389,2023-07-23,2023-07-24,2023-07-27,drawdown_recovery_k1,"[""LQTYUSDT""]","[""RDNTUSDT""]",0.05293613130972974,26,0.010484032827432432,0.8674451136163904,0.8765394366635406,0.01042945647735304
390,2023-07-26,2023-07-27,2023-07-30,drawdown_recovery_k1,"[""LQTYUSDT""]","[""ASTRUSDT""]",0.01787393083289479,25,0.0017184827082236977,0.8765394366635406,0.8780457545285231,0.001717007806301698
391,2023-07-29,2023-07-30,2023-08-02,drawdown_recovery_k1,"[""LQTYUSDT""]","[""TUSDT""]",0.002938760802466356,27,-0.002015309799383411,0.8780457545285231,0.8762762203151148,-0.0020173432686834956
392,2023-08-01,2023-08-02,2023-08-05,drawdown_recovery_k1,"[""LQTYUSDT""]","[""USDCUSDT""]",-0.030299485624575406,28,-0.010324871406143854,0.8762762203151148,0.8672287810240994,-0.010378542642956757
393,2023-08-04,2023-08-05,2023-08-08,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""USDCUSDT""]",-0.03240965423297293,29,-0.010852413558243235,0.8672287810240994,0.8578172556428146,-0.010911730543609869
394,2023-08-07,2023-08-08,2023-08-11,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""CKBUSDT""]",0.09007265297534084,27,0.019768163243835207,0.8578172556428146,0.8747747271857405,0.019575310524263347
