decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return
2022-06-04,2022-06-05,2022-06-08,DUSKUSDT,ROSEUSDT,-0.3838180625410016,-0.5920588411170244,0.07089792077578189,False,7,15141847.010345,62162336.590655,0.14089,0.15705,0.0682,0.06943,0.0966642202720911
2022-06-07,2022-06-08,2022-06-11,DUSKUSDT,API3USDT,-0.2549615421137593,-0.5362090680100755,0.10480629783006759,False,7,13528883.83913,17709984.915200002,0.15705,0.13266,1.474,1.455,-0.14241076461920676
2022-06-10,2022-06-11,2022-06-14,PEOPLEUSDT,FLOWUSDT,0.42999289267945984,-0.2481054365733114,0.21247481354438214,True,7,201471086.73804998,24751942.78,0.02012,0.01822,2.283,1.59,0.20911456360392178
2022-06-13,2022-06-14,2022-06-17,PEOPLEUSDT,GMTUSDT,0.07117647058823517,-0.6139641109298531,0.22456998971043668,True,8,230791960.255355,1695659423.7757,0.01822,0.02058,0.5915,0.5936,0.12597769536045322
2022-06-16,2022-06-17,2022-06-20,PEOPLEUSDT,GMTUSDT,0.2330736968244458,-0.6253866060720823,0.2685572691591032,True,9,296934030.242765,1362053264.36665,0.02058,0.02707,0.5936,0.7486,0.05423611493114766
2022-06-19,2022-06-20,2022-06-23,PEOPLEUSDT,FLOWUSDT,0.2032014228546022,-0.5023559260601667,0.22228345138025887,True,9,296934030.242765,24972323.18795,0.02707,0.02376,1.373,1.455,-0.1819988156195087
2022-06-22,2022-06-23,2022-06-26,PEOPLEUSDT,APEUSDT,-0.07512650836901524,-0.48696774193548387,0.16796991274912126,False,9,251263714.12904,402597172.30200005,0.02376,0.02648,3.975,4.553,-0.030930690553332196
2022-06-25,2022-06-26,2022-06-29,ANTUSDT,APEUSDT,0.14434250764526002,-0.2854228777655735,0.17525051215101706,False,8,22079265.839900002,384273956.5375,1.87,1.566,4.553,4.899,-0.2385606951284398
2022-06-28,2022-06-29,2022-07-02,API3USDT,FLOWUSDT,0.01782421634910869,-0.3358024691358025,0.10807993365579606,False,7,21371855.52195,25762919.26095,1.656,1.859,1.613,1.46,0.2174388498042774
2022-07-01,2022-07-02,2022-07-05,API3USDT,FLOWUSDT,0.14762198888202605,-0.41176470588235303,0.16335367165346448,False,7,25408865.7084,24972323.18795,1.859,2.082,1.46,1.605,0.020641897617661442
2022-07-04,2022-07-05,2022-07-08,API3USDT,FLOWUSDT,0.39611260053619324,-0.3520387565603552,0.21757887012119187,True,7,32371466.04305,24972323.18795,2.082,2.1,1.605,1.665,-0.028737644428882936
2022-07-07,2022-07-08,2022-07-11,API3USDT,FLOWUSDT,0.4256619144602851,-0.31494442157266367,0.21869218025063478,True,7,34565101.3525,24972323.18795,2.1,1.9,1.665,1.643,-0.08202488202488212
2022-07-10,2022-07-11,2022-07-14,API3USDT,FLOWUSDT,0.30652920962199315,-0.27957931638913236,0.17926385524380334,False,7,31678049.339050002,23861719.92365,1.9,1.747,1.643,1.513,-0.001402761315949408
2022-07-13,2022-07-14,2022-07-17,API3USDT,BNXUSDT,0.5164930555555558,-0.056216824835129575,0.21301614423427623,True,7,30914685.2671,20649326.6745,1.747,1.831,117.4,115.55,0.06384051901093046
2022-07-16,2022-07-17,2022-07-20,GMTUSDT,BNXUSDT,0.5698399326032013,-0.17353361945636625,0.21362123626311932,True,8,758400798.6415,19521305.854000002,0.9316,1.0539,115.55,119.68,0.09553741612119238
2022-07-19,2022-07-20,2022-07-23,APEUSDT,BNXUSDT,0.4720135691785803,-0.1410320821072275,0.1998670968558031,True,9,352123199.3635,16857593.302,6.074,6.19,119.68,129.05,-0.05919431842393008
2022-07-22,2022-07-23,2022-07-26,APEUSDT,JASMYUSDT,0.5570925553319919,-0.03759398496240618,0.17695616880215753,False,9,364596520.40250003,40847123.74911,6.19,5.996,0.00896,0.00842,0.028926984768058883
2022-07-25,2022-07-26,2022-07-29,APEUSDT,WOOUSDT,0.3164251207729467,-0.20169523274327994,0.14189173395880436,False,9,418985910.6955,24699536.004095,5.996,6.921,0.17049,0.20016,-0.01975828920846645
2022-07-28,2022-07-29,2022-08-01,APEUSDT,JASMYUSDT,0.4127372933251685,-0.01388888888888884,0.10509763723558047,False,10,418985910.6955,38819654.72689,6.921,6.714,0.00922,0.0103,-0.14704563212781607
2022-07-31,2022-08-01,2022-08-04,APEUSDT,API3USDT,0.48157139704259566,0.046824542518837386,0.12738972149063563,False,10,378190948.444,17283849.871799998,6.714,7.165,1.944,1.994,0.04145290658546541
2022-08-03,2022-08-04,2022-08-07,APEUSDT,JASMYUSDT,0.4563008130081301,-0.05350194552529164,0.13802864464577166,False,11,429884360.746,42809084.250165,7.165,7.261,0.00973,0.010063,-0.02082558457271655
2022-08-06,2022-08-07,2022-08-10,FLOWUSDT,JASMYUSDT,0.546875,-0.09342342342342336,0.19885362226704786,True,11,23692177.323349997,42809084.250165,2.573,2.997,0.010063,0.009874,0.18356986044275525
2022-08-09,2022-08-10,2022-08-13,FLOWUSDT,JASMYUSDT,0.8229927007299271,-0.06936852026390183,0.23838738785044886,True,11,34536227.58475,44044335.277431995,2.997,2.939,0.009874,0.010391,-0.07171241865050504
2022-08-12,2022-08-13,2022-08-16,APEUSDT,JASMYUSDT,0.5350666375355035,0.10681576144834914,0.14536828296715187,False,8,437799366.6095,44044335.277431995,7.025,6.209,0.010391,0.010721,-0.14791483596364385
2022-08-15,2022-08-16,2022-08-19,API3USDT,FTTUSDT,0.34006550218340603,0.10170097198399075,0.07689747904950499,False,9,17479632.7413,16275914.45425,2.455,2.112,30.829,29.897,-0.10948359187024614
2022-08-18,2022-08-19,2022-08-22,BNXUSDT,GALUSDT,0.15574866310160407,-0.16536708253358934,0.1016242537564373,False,9,13608950.264,60195497.2802,138.3,141.69,2.783,2.7653,0.030871973704619582
2022-08-21,2022-08-22,2022-08-25,BNXUSDT,APEUSDT,0.0977064931039826,-0.16200936843805525,0.09143220768083136,False,9,13608950.264,354064506.90900004,141.69,129.54,5.188,5.308,-0.108880882950949
2022-08-24,2022-08-25,2022-08-28,JASMYUSDT,GMTUSDT,0.08252080856123634,-0.1418122270742358,0.07363165811669638,False,8,46910500.830148,427974453.09825003,0.009104,0.008684,0.7861,0.685,0.08247602399243992
2022-08-27,2022-08-28,2022-08-31,JASMYUSDT,GMTUSDT,-0.059263271939328344,-0.3223189552829441,0.09587258328881432,False,8,45605367.404412,417021217.55425,0.008684,0.008655,0.685,0.6562,0.03870432072407681
2022-08-30,2022-08-31,2022-09-03,BNXUSDT,GALUSDT,-0.01468614879976149,-0.3639275658081683,0.10802752690653591,False,9,16744712.675,40462992.770500004,132.2,134.48,2.4629,2.4961,0.003766552215820562
2022-09-02,2022-09-03,2022-09-06,BNXUSDT,OPUSDT,0.05247082778604417,-0.38110552763819094,0.13559441658261956,False,9,17636588.915,430809555.56366,134.48,130.79,1.2316,1.1966,0.0009792932453519532
2022-09-05,2022-09-06,2022-09-09,BNXUSDT,WOOUSDT,0.03942452905174476,-0.38183370193613475,0.13803755371417933,False,9,17715871.224,19547123.06392,130.79,142.41,0.15936,0.1536,0.12498929121179281
2022-09-08,2022-09-09,2022-09-12,BNXUSDT,APEUSDT,0.11913555992141456,-0.359036488027366,0.14703110755729185,False,9,20229103.393,214709786.2865,142.41,156.82,4.497,5.672,-0.16009858689586332
2022-09-11,2022-09-12,2022-09-15,JASMYUSDT,WOOUSDT,-0.0930433945925141,-0.31512832244914946,0.07788276431769849,False,8,31684542.645961,14668577.689475,0.009426,0.00849,0.1646,0.14866,-0.0024589827933853003
